NOC,Predicted_Gold,Predicted_Total,Gold_Lower,Gold_Upper,Total_Lower,Total_Upper,Gold_History,Total_History,Gold_Progress,Total_Progress,Gold_Trend,Total_Trend
Philippines,1,3,0,3,0,6,2,4,-1,-1,Decline,Decline
Poland,1,10,0,6,0,21,1,10,0,0,Decline,Decline
Portugal,0,4,0,2,1,7,1,4,-1,0,Decline,Decline
Puerto Rico,0,2,0,0,1,3,0,2,0,0,Decline,Decline
Qatar,0,1,0,0,0,2,0,1,0,0,Decline,Decline
Refugee Olympic Team,0,1,0,0,0,2,0,1,0,0,Decline,Decline
Romania,2,9,0,7,0,20,3,9,-1,0,Decline,Decline
Saint Lucia,0,1,0,0,0,2,1,2,-1,-1,Decline,Decline
Serbia,1,3,0,3,0,6,3,5,-2,-2,Decline,Decline
Singapore,0,1,0,0,0,2,0,1,0,0,Decline,Decline
Slovakia,0,1,0,2,0,4,0,1,0,0,Decline,Decline
Slovenia,1,2,0,3,0,5,2,3,-1,-1,Decline,Decline
South Africa,1,5,0,3,2,8,1,6,0,-1,Decline,Decline
South Korea,7,23,2,12,12,34,13,32,-6,-9,Decline,Decline
Spain,4,18,0,9,7,29,5,18,-1,0,Decline,Decline
Sweden,2,10,0,7,0,21,4,11,-2,-1,Decline,Decline
Switzerland,1,6,0,3,3,9,1,8,0,-2,Decline,Decline
Tajikistan,0,2,0,0,1,3,0,3,0,-1,Decline,Decline
Thailand,1,5,0,3,2,8,1,6,0,-1,Decline,Decline
Tunisia,0,2,0,2,0,5,1,3,-1,-1,Decline,Decline
Turkey,0,7,0,2,4,10,0,8,0,-1,Decline,Decline
Uganda,0,2,0,2,0,5,1,2,-1,0,Decline,Decline
Ukraine,2,12,0,7,1,23,3,12,-1,0,Decline,Decline
United States,60,134,47,73,104,164,40,126,20,8,Progress,Progress
Uzbekistan,2,6,0,4,3,9,8,13,-6,-7,Decline,Decline
Zambia,0,1,0,0,0,2,0,1,0,0,Decline,Decline
