Year,NOC,Gold,Silver,Bronze,Total,Rank,Athletes,GDP,Host,Past_Gold_Avg,Past_Total_Avg,Past_Gold_Sum,Past_Total_Sum,Cluster
2024,Armenia,0,3,1,4,66.0,17.0,624.0,0,0.3333333333333333,3.3333333333333335,1.0,10.0,1
1912,Australasia,2,2,3,7,12.0,0.0,0.0,0,1.0,5.0,1.0,5.0,2
1908,Australasia,1,2,2,5,11.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
1988,Australia,3,6,5,14,15.0,339.0,45080.0,0,2.0,12.666666666666666,6.0,38.0,4
1924,Australia,3,1,2,6,11.0,60.0,29708.928571428572,0,0.6666666666666666,4.0,2.0,12.0,4
1992,Australia,7,9,11,27,10.0,390.0,49905.0,0,3.0,15.666666666666666,9.0,47.0,4
1928,Australia,1,2,1,4,19.0,29.0,29708.928571428572,0,1.0,4.333333333333333,3.0,13.0,4
1920,Australia,0,2,1,3,16.0,29.0,29708.928571428572,0,1.3333333333333333,3.6666666666666665,4.0,11.0,4
2020,Australia,17,7,22,46,6.0,638.0,62187.0,0,10.0,36.666666666666664,30.0,110.0,4
1976,Australia,0,1,4,5,32.0,274.0,56064.0,0,6.333333333333333,17.333333333333332,19.0,52.0,4
1980,Australia,2,2,5,9,15.0,190.0,52475.0,0,4.333333333333333,13.0,13.0,39.0,4
1960,Australia,8,8,6,22,5.0,280.0,29708.928571428572,0,7.0,19.666666666666668,21.0,59.0,4
1996,Australia,9,9,23,41,7.0,550.0,49687.0,0,4.666666666666667,21.666666666666668,14.0,65.0,4
1936,Australia,0,0,1,1,30.0,39.0,29708.928571428572,0,2.3333333333333335,5.0,7.0,15.0,4
2016,Australia,8,11,10,29,10.0,518.0,64155.0,0,13.0,43.666666666666664,39.0,131.0,4
2004,Australia,17,16,17,50,4.0,601.0,50293.0,0,10.666666666666666,42.0,32.0,126.0,4
1972,Australia,8,7,2,17,6.0,266.0,40639.0,0,6.333333333333333,19.0,19.0,57.0,4
1948,Australia,2,6,5,13,14.0,103.0,29708.928571428572,0,1.3333333333333333,3.3333333333333335,4.0,10.0,4
1952,Australia,6,2,3,11,9.0,140.0,29708.928571428572,0,1.6666666666666667,6.333333333333333,5.0,19.0,4
2012,Australia,8,15,12,35,8.0,514.0,95183.0,0,15.666666666666666,51.333333333333336,47.0,154.0,4
2000,Australia,16,25,17,58,4.0,788.0,40578.0,1,6.333333333333333,27.333333333333332,19.0,82.0,4
1968,Australia,5,7,5,17,9.0,224.0,34725.0,0,9.0,25.0,27.0,75.0,4
1984,Australia,4,8,12,24,14.0,337.0,47915.0,0,3.3333333333333335,10.333333333333334,10.0,31.0,4
1956,Australia,13,8,14,35,3.0,412.0,29708.928571428572,1,2.6666666666666665,8.333333333333334,8.0,25.0,4
2008,Australia,14,15,17,46,6.0,570.0,71482.0,0,14.0,49.666666666666664,42.0,149.0,4
1964,Australia,6,2,10,18,8.0,392.0,29708.928571428572,0,9.0,22.666666666666668,27.0,68.0,4
1932,Australia,3,1,1,5,11.0,20.0,29708.928571428572,0,1.3333333333333333,4.333333333333333,4.0,13.0,4
2024,Australia,18,19,16,53,4.0,649.0,71482.0,0,11.0,36.666666666666664,33.0,110.0,4
1896,Australia,2,0,0,2,8.0,5.0,29708.928571428572,0,0.0,0.0,0.0,0.0,4
1904,Australia,0,3,1,4,12.0,6.0,29708.928571428572,0,2.0,3.5,4.0,7.0,4
1900,Australia,2,0,3,5,9.0,6.0,29708.928571428572,0,2.0,2.0,2.0,2.0,4
2016,Austria,0,0,1,1,78.0,85.0,20913.0,0,1.3333333333333333,4.333333333333333,4.0,13.0,2
1992,Austria,0,2,0,2,41.0,127.0,29781.0,0,1.0,2.6666666666666665,3.0,8.0,2
1976,Austria,0,0,1,1,37.0,73.0,22825.0,0,0.3333333333333333,3.0,1.0,9.0,2
1924,Austria,0,3,1,4,20.0,56.0,12064.703703703704,0,0.3333333333333333,2.6666666666666665,1.0,8.0,2
1996,Austria,0,1,2,3,57.0,92.0,29200.0,0,0.6666666666666666,2.0,2.0,6.0,2
1904,Austria,1,1,1,3,8.0,7.0,12064.703703703704,0,1.0,5.5,2.0,11.0,2
1932,Austria,1,1,3,5,18.0,33.0,12064.703703703704,0,0.6666666666666666,3.6666666666666665,2.0,11.0,2
1988,Austria,1,0,0,1,29.0,96.0,25344.0,0,0.6666666666666666,2.6666666666666665,2.0,8.0,2
1936,Austria,5,7,5,17,10.0,363.0,12064.703703703704,0,1.0,4.0,3.0,12.0,2
1900,Austria,0,3,3,6,16.0,26.0,12064.703703703704,0,2.0,5.0,2.0,5.0,2
1956,Austria,0,0,2,2,34.0,57.0,12064.703703703704,0,2.0,7.666666666666667,6.0,23.0,2
2000,Austria,2,1,0,3,32.0,114.0,19118.0,0,0.3333333333333333,2.0,1.0,6.0,2
1928,Austria,2,0,1,3,18.0,113.0,12064.703703703704,0,0.0,3.0,0.0,9.0,2
1968,Austria,0,2,2,4,32.0,59.0,13225.0,0,0.3333333333333333,2.0,1.0,6.0,2
1960,Austria,1,1,0,2,18.0,198.0,12064.703703703704,0,0.3333333333333333,2.6666666666666665,1.0,8.0,2
2020,Austria,1,1,5,7,53.0,103.0,20319.0,0,0.6666666666666666,3.6666666666666665,2.0,11.0,2
2004,Austria,2,4,1,7,27.0,92.0,24472.0,0,0.6666666666666666,2.6666666666666665,2.0,8.0,2
1972,Austria,0,1,2,3,31.0,143.0,17130.0,0,0.3333333333333333,2.6666666666666665,1.0,8.0,2
1980,Austria,1,2,1,4,21.0,92.0,28588.0,0,0.0,2.6666666666666665,0.0,8.0,2
2008,Austria,0,1,2,3,64.0,93.0,29038.0,0,1.3333333333333333,4.333333333333333,4.0,13.0,2
2024,Austria,2,0,3,5,36.0,121.0,29038.0,0,0.3333333333333333,3.6666666666666665,1.0,11.0,2
1908,Austria,0,0,1,1,19.0,13.0,12064.703703703704,0,1.0,4.666666666666667,3.0,14.0,2
1912,Austria,0,2,2,4,17.0,132.0,12064.703703703704,0,0.3333333333333333,3.3333333333333335,1.0,10.0,2
1948,Austria,1,0,3,4,21.0,239.0,12064.703703703704,0,2.6666666666666665,8.333333333333334,8.0,25.0,2
1952,Austria,0,1,1,2,32.0,238.0,12064.703703703704,0,2.3333333333333335,8.666666666666666,7.0,26.0,2
1896,Austria,2,1,2,5,7.0,8.0,12064.703703703704,0,0.0,0.0,0.0,0.0,2
1984,Austria,1,1,1,3,22.0,130.0,16756.0,0,0.3333333333333333,2.6666666666666665,1.0,8.0,2
2000,Azerbaijan,2,0,1,3,34.0,32.0,494.0,0,0.0,1.0,0.0,1.0,2
2012,Azerbaijan,2,2,5,9,32.0,59.0,4258.0,0,1.3333333333333333,4.666666666666667,4.0,14.0,2
2008,Azerbaijan,1,1,4,6,40.0,44.0,3284.0,0,1.0,3.0,3.0,9.0,2
1996,Azerbaijan,0,1,0,1,61.0,24.0,365.0,0,0.0,0.0,0.0,0.0,2
2020,Azerbaijan,0,3,4,7,67.0,55.0,1976.0,0,1.3333333333333333,11.0,4.0,33.0,2
2024,Azerbaijan,2,2,3,7,30.0,49.0,4258.0,0,1.0,11.333333333333334,3.0,34.0,2
2004,Azerbaijan,1,0,4,5,50.0,37.0,691.0,0,1.0,2.0,2.0,4.0,2
2016,Azerbaijan,1,7,10,18,39.0,69.0,1991.0,0,1.3333333333333333,6.666666666666667,4.0,20.0,2
1964,Bahamas,1,0,0,1,24.0,0.0,0.0,0,0.0,1.0,0.0,1.0,2
1956,Bahamas,0,0,1,1,35.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
2016,Bahamas,1,0,1,2,51.0,0.0,0.0,0,0.6666666666666666,1.6666666666666667,2.0,5.0,2
2012,Bahamas,1,0,0,1,50.0,0.0,0.0,0,1.0,2.3333333333333335,3.0,7.0,2
1992,Bahamas,0,0,1,1,54.0,0.0,0.0,0,0.5,1.0,1.0,2.0,2
1996,Bahamas,0,1,0,1,61.0,0.0,0.0,0,0.3333333333333333,1.0,1.0,3.0,2
2004,Bahamas,1,0,1,2,52.0,0.0,0.0,0,0.6666666666666666,1.6666666666666667,2.0,5.0,2
2020,Bahamas,2,0,0,2,42.0,0.0,0.0,0,0.6666666666666666,1.6666666666666667,2.0,5.0,2
2000,Bahamas,2,0,1,3,34.0,0.0,0.0,0,0.3333333333333333,1.0,1.0,3.0,2
2008,Bahamas,0,1,1,2,68.0,0.0,0.0,0,1.0,2.0,3.0,6.0,2
2020,Bahrain,0,1,0,1,77.0,0.0,1655.0,0,1.0,1.5,2.0,3.0,1
2016,Bahrain,1,1,0,2,48.0,0.0,1779.0,0,1.0,1.0,1.0,1.0,1
2012,Bahrain,1,0,0,1,50.0,0.0,1937.0,0,0.0,0.0,0.0,0.0,1
2024,Bahrain,2,1,1,4,33.0,0.0,1717.0,0,0.6666666666666666,1.3333333333333333,2.0,4.0,1
2000,Barbados,0,0,1,1,71.0,0.0,278.0,0,0.0,0.0,0.0,0.0,1
2008,Belarus,3,4,7,14,24.0,237.0,4090.0,0,2.0,15.0,6.0,45.0,4
1996,Belarus,1,6,8,15,37.0,259.0,1800.0,0,0.0,0.0,0.0,0.0,4
2020,Belarus,1,3,3,7,45.0,137.0,2850.0,0,2.0,11.0,6.0,33.0,4
2000,Belarus,3,3,11,17,23.0,231.0,1222.0,0,1.0,15.0,1.0,15.0,4
2012,Belarus,2,5,3,10,28.0,185.0,4012.0,0,2.6666666666666665,14.666666666666666,8.0,44.0,4
2016,Belarus,1,4,4,9,40.0,142.0,2515.0,0,2.3333333333333335,12.333333333333334,7.0,37.0,4
2004,Belarus,2,5,6,13,26.0,192.0,1875.0,0,2.0,16.0,4.0,32.0,4
1948,Belgium,2,2,3,7,15.0,182.0,16441.678571428572,0,0.0,2.3333333333333335,0.0,7.0,4
2020,Belgium,3,1,3,7,29.0,185.0,24782.0,0,1.3333333333333333,3.6666666666666665,4.0,11.0,4
1912,Belgium,2,1,3,6,13.0,72.0,16441.678571428572,0,3.5,12.5,7.0,25.0,4
1984,Belgium,1,1,2,4,21.0,86.0,20627.0,0,0.3333333333333333,3.0,1.0,9.0,4
1964,Belgium,2,0,1,3,20.0,74.0,16441.678571428572,0,0.6666666666666666,3.3333333333333335,2.0,10.0,4
2004,Belgium,1,0,2,3,51.0,70.0,30202.0,0,0.6666666666666666,4.666666666666667,2.0,14.0,4
2008,Belgium,2,0,0,2,37.0,112.0,35003.0,0,1.0,4.666666666666667,3.0,14.0,4
2000,Belgium,0,2,3,5,55.0,94.0,23080.0,0,0.6666666666666666,3.6666666666666665,2.0,11.0,4
1960,Belgium,0,2,2,4,26.0,150.0,16441.678571428572,0,1.3333333333333333,4.333333333333333,4.0,13.0,4
1968,Belgium,0,1,1,2,36.0,106.0,22962.0,0,0.6666666666666666,3.0,2.0,9.0,4
1908,Belgium,1,5,2,8,10.0,99.0,16441.678571428572,0,6.0,17.0,6.0,17.0,4
1996,Belgium,2,2,2,6,31.0,81.0,34557.0,0,0.3333333333333333,3.0,1.0,9.0,4
1988,Belgium,0,0,2,2,44.0,85.0,30974.0,0,0.6666666666666666,3.6666666666666665,2.0,11.0,4
1992,Belgium,0,1,2,3,44.0,103.0,35988.0,0,0.6666666666666666,2.3333333333333335,2.0,7.0,4
2016,Belgium,2,2,2,6,35.0,138.0,25198.0,0,1.0,2.6666666666666665,3.0,8.0,4
1976,Belgium,0,3,3,6,28.0,149.0,37944.0,0,0.6666666666666666,2.3333333333333335,2.0,7.0,4
1920,Belgium,14,11,11,36,5.0,518.0,16441.678571428572,1,3.0,10.333333333333334,9.0,31.0,4
1952,Belgium,2,2,0,4,14.0,184.0,16441.678571428572,0,0.6666666666666666,3.6666666666666665,2.0,11.0,4
1924,Belgium,3,7,3,13,10.0,234.0,16441.678571428572,0,5.666666666666667,16.666666666666668,17.0,50.0,4
2012,Belgium,0,1,2,3,64.0,142.0,30636.0,0,1.0,3.3333333333333335,3.0,10.0,4
1936,Belgium,0,0,3,3,28.0,205.0,16441.678571428572,0,1.0,5.666666666666667,3.0,17.0,4
1932,Belgium,0,0,1,1,26.0,69.0,16441.678571428572,0,5.666666666666667,17.333333333333332,17.0,52.0,4
2024,Belgium,3,1,6,10,25.0,240.0,35003.0,0,1.6666666666666667,5.333333333333333,5.0,16.0,4
1900,Belgium,6,7,4,17,5.0,100.0,16441.678571428572,0,0.0,0.0,0.0,0.0,4
1980,Belgium,1,0,0,1,23.0,84.0,44369.0,0,0.0,3.3333333333333335,0.0,10.0,4
1972,Belgium,0,2,0,2,29.0,106.0,29042.0,0,0.6666666666666666,3.0,2.0,9.0,4
1956,Belgium,0,2,0,2,28.0,82.0,16441.678571428572,0,1.3333333333333333,4.666666666666667,4.0,14.0,4
1928,Belgium,0,1,2,3,29.0,260.0,16441.678571428572,0,6.333333333333333,18.333333333333332,19.0,55.0,4
2020,Bermuda,1,0,0,1,63.0,0.0,299.0,0,0.0,1.0,0.0,1.0,1
1976,Bermuda,0,0,1,1,37.0,0.0,190.0,0,0.0,0.0,0.0,0.0,1
1908,Bohemia,0,0,2,2,17.0,0.0,0.0,0,0.0,2.0,0.0,2.0,2
1900,Bohemia,0,1,1,2,20.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
2020,Botswana,0,0,1,1,86.0,0.0,677.0,0,0.0,1.0,0.0,1.0,1
2024,Botswana,1,1,0,2,55.0,0.0,703.0,0,0.0,1.0,0.0,2.0,1
2012,Botswana,0,1,0,1,70.0,0.0,826.0,0,0.0,0.0,0.0,0.0,1
2012,Brazil,3,5,9,17,22.0,306.0,151644.0,0,2.6666666666666665,13.0,8.0,39.0,4
1952,Brazil,1,0,2,3,24.0,119.0,55809.380952380954,0,0.5,2.0,1.0,4.0,4
1960,Brazil,0,0,2,2,39.0,86.0,55809.380952380954,0,0.6666666666666666,1.6666666666666667,2.0,5.0,4
2004,Brazil,5,2,3,10,16.0,318.0,54764.0,0,1.6666666666666667,10.0,5.0,30.0,4
2008,Brazil,3,4,10,17,23.0,338.0,114797.0,0,2.6666666666666665,12.333333333333334,8.0,37.0,4
2016,Brazil,7,6,6,19,13.0,583.0,95470.0,1,3.6666666666666665,14.666666666666666,11.0,44.0,4
1956,Brazil,1,0,0,1,24.0,63.0,55809.380952380954,0,0.6666666666666666,2.3333333333333335,2.0,7.0,4
1948,Brazil,0,0,1,1,34.0,105.0,55809.380952380954,0,1.0,3.0,1.0,3.0,4
1992,Brazil,2,1,0,3,25.0,233.0,50314.0,0,1.3333333333333333,6.0,4.0,18.0,4
1964,Brazil,0,0,1,1,35.0,65.0,55809.380952380954,0,0.6666666666666666,2.0,2.0,6.0,4
1996,Brazil,3,3,9,15,25.0,251.0,105315.0,0,1.3333333333333333,5.666666666666667,4.0,17.0,4
1976,Brazil,0,0,2,2,36.0,89.0,81744.0,0,0.0,2.0,0.0,6.0,4
1968,Brazil,0,1,2,3,35.0,89.0,36019.0,0,0.3333333333333333,1.3333333333333333,1.0,4.0,4
2000,Brazil,0,6,6,12,53.0,236.0,63921.0,0,2.0,8.0,6.0,24.0,4
1988,Brazil,1,2,3,6,24.0,233.0,58776.0,0,1.0,4.666666666666667,3.0,14.0,4
1980,Brazil,2,0,2,4,17.0,149.0,83065.0,0,0.0,2.3333333333333335,0.0,7.0,4
1972,Brazil,0,0,2,2,41.0,104.0,45637.0,0,0.0,2.0,0.0,6.0,4
2020,Brazil,7,6,8,21,12.0,416.0,69103.0,0,4.333333333333333,17.666666666666668,13.0,53.0,4
1920,Brazil,1,1,1,3,15.0,38.0,55809.380952380954,0,0.0,0.0,0.0,0.0,4
2024,Brazil,3,7,10,20,20.0,401.0,114797.0,0,5.666666666666667,19.0,17.0,57.0,4
1984,Brazil,1,5,2,8,19.0,197.0,46631.0,0,0.6666666666666666,2.6666666666666665,2.0,8.0,4
1960,British West Indies,0,0,2,2,39.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
1988,Bulgaria,10,12,13,35,7.0,281.0,4287.0,0,6.666666666666667,28.0,20.0,84.0,4
1972,Bulgaria,6,10,5,21,9.0,226.0,1913.5,0,2.0,8.666666666666666,6.0,26.0,4
2024,Bulgaria,3,1,3,7,26.0,61.0,3665.0,0,1.0,4.0,3.0,12.0,4
1992,Bulgaria,3,7,6,16,18.0,236.0,1567.0,0,8.0,32.666666666666664,24.0,98.0,4
1976,Bulgaria,6,9,7,22,7.0,254.0,1913.5,0,3.6666666666666665,13.333333333333334,11.0,40.0,4
2016,Bulgaria,0,1,2,3,66.0,58.0,2847.0,0,1.0,6.666666666666667,3.0,20.0,4
1952,Bulgaria,0,0,1,1,40.0,179.0,1913.5,0,0.0,0.0,0.0,0.0,4
2012,Bulgaria,0,2,1,3,60.0,75.0,3311.0,0,2.6666666666666665,10.0,8.0,30.0,4
1996,Bulgaria,3,7,5,15,22.0,181.0,1495.0,0,7.0,30.666666666666668,21.0,92.0,4
1980,Bulgaria,8,16,17,41,3.0,397.0,6924.0,0,4.666666666666667,17.333333333333332,14.0,52.0,4
2004,Bulgaria,2,1,9,12,33.0,119.0,2122.0,0,3.6666666666666665,14.666666666666666,11.0,44.0,4
2020,Bulgaria,3,1,2,6,30.0,56.0,3288.0,0,0.3333333333333333,3.6666666666666665,1.0,11.0,4
1964,Bulgaria,3,5,2,10,11.0,116.0,1913.5,0,0.6666666666666666,4.333333333333333,2.0,13.0,4
1960,Bulgaria,1,3,3,7,15.0,183.0,1913.5,0,0.5,3.0,1.0,6.0,4
2000,Bulgaria,5,6,2,13,16.0,150.0,1272.0,0,5.333333333333333,22.0,16.0,66.0,4
2008,Bulgaria,1,1,3,5,42.0,87.0,3665.0,0,3.3333333333333335,13.333333333333334,10.0,40.0,4
1968,Bulgaria,2,4,3,9,18.0,189.0,1913.5,0,1.6666666666666667,7.333333333333333,5.0,22.0,4
1956,Bulgaria,1,3,1,5,19.0,82.0,1913.5,0,0.0,1.0,0.0,1.0,4
2020,Burkina Faso,0,0,1,1,86.0,0.0,806.0,0,0.0,0.0,0.0,0.0,1
2016,Burundi,0,1,0,1,69.0,10.0,118.0,0,1.0,1.0,1.0,1.0,1
1996,Burundi,1,0,0,1,49.0,7.0,80.0,0,0.0,0.0,0.0,0.0,1
2024,Cabo Verde,0,0,1,1,84.0,7.0,109.0,0,0.0,0.0,0.0,0.0,1
2012,Cameroon,0,0,1,1,79.0,32.0,1826.0,0,1.0,1.0,3.0,3.0,1
1968,Cameroon,0,1,0,1,39.0,5.0,1042.0,0,0.0,0.0,0.0,0.0,1
1984,Cameroon,0,0,1,1,43.0,56.0,1795.0,0,0.0,1.0,0.0,1.0,1
2008,Cameroon,1,0,0,1,53.0,32.0,1853.0,0,0.6666666666666666,1.0,2.0,3.0,1
2000,Cameroon,1,0,0,1,50.0,39.0,1010.0,0,0.0,1.0,0.0,2.0,1
2004,Cameroon,1,0,0,1,54.0,19.0,1522.0,0,0.3333333333333333,1.0,1.0,3.0,1
2004,Canada,3,6,3,12,21.0,391.0,84019.0,0,4.333333333333333,18.0,13.0,54.0,4
1984,Canada,10,18,16,44,6.0,572.0,88334.0,0,0.3333333333333333,7.0,1.0,21.0,4
1948,Canada,0,1,2,3,25.0,188.0,45313.392857142855,0,2.3333333333333335,13.333333333333334,7.0,40.0,4
1960,Canada,0,1,0,1,32.0,140.0,45313.392857142855,0,1.0,4.0,3.0,12.0,4
2012,Canada,2,6,10,18,27.0,354.0,112461.0,0,3.0,15.333333333333334,9.0,46.0,4
1972,Canada,0,2,3,5,27.0,344.0,88660.0,0,0.6666666666666666,3.3333333333333335,2.0,10.0,4
1988,Canada,3,2,5,10,19.0,503.0,97257.0,0,3.3333333333333335,20.0,10.0,60.0,4
2000,Canada,3,3,8,14,24.0,422.0,72635.0,0,4.333333333333333,16.666666666666668,13.0,50.0,4
1900,Canada,1,0,1,2,13.0,7.0,45313.392857142855,0,0.0,0.0,0.0,0.0,4
1976,Canada,0,5,6,11,27.0,531.0,110624.0,1,0.6666666666666666,4.666666666666667,2.0,14.0,4
2008,Canada,3,9,8,20,20.0,449.0,105124.0,0,3.0,16.0,9.0,48.0,4
1956,Canada,2,1,3,6,15.0,150.0,45313.392857142855,0,0.6666666666666666,5.0,2.0,15.0,4
1952,Canada,1,2,0,3,21.0,154.0,45313.392857142855,0,1.0,9.333333333333334,3.0,28.0,4
1992,Canada,7,4,7,18,11.0,445.0,91140.0,0,4.333333333333333,21.666666666666668,13.0,65.0,4
1968,Canada,1,3,1,5,23.0,291.0,76564.0,0,1.0,3.6666666666666665,3.0,11.0,4
1996,Canada,3,11,8,22,21.0,408.0,78086.0,0,6.666666666666667,24.0,20.0,72.0,4
1964,Canada,1,2,1,4,22.0,194.0,45313.392857142855,0,1.0,3.3333333333333335,3.0,10.0,4
1904,Canada,4,1,1,6,3.0,61.0,45313.392857142855,0,1.0,2.0,1.0,2.0,4
1912,Canada,3,2,3,8,9.0,60.0,45313.392857142855,0,2.6666666666666665,8.0,8.0,24.0,4
2016,Canada,4,3,15,22,20.0,405.0,81234.0,0,2.6666666666666665,16.666666666666668,8.0,50.0,4
1920,Canada,3,3,3,9,12.0,85.0,45313.392857142855,0,3.3333333333333335,10.0,10.0,30.0,4
1924,Canada,0,3,1,4,20.0,83.0,45313.392857142855,0,3.0,11.0,9.0,33.0,4
1936,Canada,1,3,5,9,17.0,167.0,45313.392857142855,0,2.0,11.666666666666666,6.0,35.0,4
1908,Canada,3,3,10,16,7.0,148.0,45313.392857142855,0,2.5,4.0,5.0,8.0,4
2024,Canada,9,7,11,27,12.0,538.0,105124.0,0,4.333333333333333,21.333333333333332,13.0,64.0,4
1928,Canada,4,4,7,15,10.0,113.0,45313.392857142855,0,2.0,7.0,6.0,21.0,4
1932,Canada,2,5,9,16,13.0,191.0,45313.392857142855,0,2.3333333333333335,9.333333333333334,7.0,28.0,4
2020,Canada,7,7,10,24,11.0,509.0,77513.0,0,3.0,20.0,9.0,60.0,4
1948,Ceylon,0,1,0,1,28.0,0.0,0.0,0,0.0,0.0,0.0,0.0,2
2008,Chile,0,1,0,1,72.0,29.0,12156.0,0,0.6666666666666666,1.6666666666666667,2.0,5.0,2
1956,Chile,0,2,2,4,27.0,43.0,5622.125,0,0.0,1.5,0.0,3.0,2
1988,Chile,0,1,0,1,36.0,23.0,4953.0,0,0.0,2.3333333333333335,0.0,7.0,2
1928,Chile,0,1,0,1,30.0,46.0,5622.125,0,0.0,0.0,0.0,0.0,2
2000,Chile,0,0,1,1,71.0,58.0,7622.0,0,0.0,2.3333333333333335,0.0,7.0,2
2024,Chile,1,1,0,2,55.0,52.0,12156.0,0,0.6666666666666666,1.6666666666666667,2.0,5.0,2
1952,Chile,0,2,0,2,31.0,82.0,5622.125,0,0.0,1.0,0.0,1.0,2
2004,Chile,2,0,1,3,39.0,29.0,8090.0,0,0.0,2.0,0.0,6.0,2
2024,China,40,27,24,91,2.0,587.0,311045.0,0,34.333333333333336,83.66666666666667,103.0,251.0,0
2004,China,32,17,14,63,2.0,518.0,160032.0,0,20.0,54.0,60.0,162.0,0
2008,China,48,22,30,100,1.0,730.0,311045.0,1,25.333333333333332,57.0,76.0,171.0,0
2012,China,39,31,22,92,2.0,479.0,524915.0,0,36.0,73.66666666666667,108.0,221.0,0
2016,China,26,18,26,70,3.0,499.0,597351.0,0,39.666666666666664,85.0,119.0,255.0,0
2020,China,38,32,19,89,2.0,574.0,687811.0,0,37.666666666666664,87.33333333333333,113.0,262.0,0
1984,China,15,8,9,32,4.0,323.0,64366.0,0,0.0,0.0,0.0,0.0,0
