NOC,Sport,Compete
PLW,Swimming,0.43902439024390244
PLW,Athletics,0.225
PNG,Weightlifting,0.3673469387755102
PNG,Athletics,0.225
PNG,Swimming,0.43902439024390244
PNG,Sailing,0.5454545454545454
PNG,Boxing,0.32142857142857145
PNG,Taekwondo,0.3673469387755102
RWA,Swimming,0.43902439024390244
RWA,Athletics,0.225
RWA,Cycling Road,1.8
RWA,Fencing,0.75
SAM,Boxing,0.32142857142857145
SAM,Canoe Sprint,0.8571428571428571
SAM,Sailing,0.5454545454545454
SAM,Judo,0.36
SAM,Athletics,0.225
SAM,Weightlifting,0.3673469387755102
SAM,Wrestling,0.35294117647058826
SAM,Swimming,0.43902439024390244
SAM,Rugby Sevens,2.0
SEY,Athletics,0.225
SEY,Swimming,0.43902439024390244
SEY,Judo,0.36
SEY,Sailing,0.5454545454545454
SKN,Athletics,0.225
SKN,Swimming,0.43902439024390244
SLE,Athletics,0.225
SLE,Swimming,0.43902439024390244
SLE,Judo,0.36
SOL,Athletics,0.225
SOL,Swimming,0.43902439024390244
SOL,Weightlifting,0.3673469387755102
SOM,Boxing,0.32142857142857145
SOM,Athletics,0.225
SSD,Athletics,0.225
SSD,Basketball,1.8
STP,Canoe Sprint,0.8571428571428571
STP,Athletics,0.225
STP,Judo,0.36
SWZ,Swimming,0.43902439024390244
SWZ,Boxing,0.32142857142857145
SWZ,Athletics,0.225
TLS,Swimming,0.43902439024390244
TLS,Athletics,0.225
TLS,Taekwondo,0.3673469387755102
TUV,Athletics,0.225
VAN,Judo,0.36
VAN,Rowing,0.6428571428571429
VAN,Table Tennis,1.0
VAN,Weightlifting,0.3673469387755102
VAN,Swimming,0.43902439024390244
VAN,Athletics,0.225
VIN,Swimming,0.43902439024390244
VIN,Athletics,0.225
YEM,Athletics,0.225
YEM,Shooting,0.3673469387755102
YEM,Swimming,0.43902439024390244
YEM,Judo,0.36
